61800 62100
5559
4833 170 65 61217 0 0 1 0 1 4294967295 111 290000000 764 290000000 803 290000000 4294967295 61217 0 28801 62054 0 0 0 62.0781 2604 5 1 1 0 15.2919
 3960 115 65 61225 0 0 1 0 1 4294967295 117 290000002 736 290000000 737 290000000 4294967295 61225 0 28801 62079 0 0 0 86.6971 2516 5 1 1 0 21.9951
 1744 10 176 61230 0 0 1 0 1 4294967295 401 366000000 745 366000000 41 366000000 4294967295 61230 0 28802 62097 0 0 0 113.289 2555 5 1 1 0 23.8246
 1742 10 176 61234 0 0 1 0 1 4294967295 401 366000000 1030 366000000 1033 366000000 4294967295 61234 0 0 62048 0 0 0 123.496 3352 5 1 1 0 13.4599
 2625 68 190 61246 0 0 1 0 1 4294967295 438 370000000 1000 370000000 4294967295 4664967295 4294967295 61246 0 0 62088 0 0 0 31.0682 3280 5 1 1 0 31.1033
 4836 170 65 61248 0 0 1 0 1 4294967295 111 290000000 1058 290000002 1059 290000002 4294967295 61248 0 28804 62097 0 0 0 20.2594 3435 5 1 1 0 23.3303
 964 0 207 61254 0 0 1 0 1 4294967295 180 421000000 875 421000000 265 421000000 4294967295 61254 0 28803 62077 0 0 0 78.4276 2898 5 1 1 0 25.3321
 5403 103 223 61258 0 0 1 0 1 4294967295 381 193000000 740 193000000 741 193000000 4294967295 61258 0 28802 62055 0 0 0 3.04391 2538 5 1 1 0 36.1118
 4262 79 1 61263 0 0 1 0 1 4294967295 232 153000000 891 153000000 647 153000000 4294967295 61263 0 28801 62038 0 0 0 49.0115 2939 5 1 1 0 30.4207
 2019 16 1 61272 0 0 1 0 1 4294967295 552 153000000 891 153000000 647 153000000 4294967295 61272 0 28803 62073 0 0 0 39.9164 2934 5 1 1 0 21.4155
 4272 79 1 61281 0 0 1 0 1 4294967295 232 153000000 891 153000000 647 153000000 4294967295 61281 0 28802 62061 0 0 0 120.281 2936 5 1 1 0 18.5489
 2030 16 1 61282 0 0 1 0 1 4294967295 552 153000000 891 153000000 647 153000000 4294967295 61282 0 0 62083 0 0 0 6.60171 2932 5 1 1 0 21.6183
 2039 16 1 61282 0 0 1 0 1 4294967295 552 153000000 891 153000000 647 153000000 4294967295 61282 0 0 62084 0 0 0 21.3938 2932 5 1 1 0 15.5289
 2018 16 1 61286 0 0 1 0 1 4294967295 552 153000000 891 153000000 647 153000000 4294967295 61286 0 28801 62087 0 0 0 104.595 2932 5 1 1 0 20.7048
 2045 16 1 61286 0 0 1 0 1 4294967295 552 153000000 233 153000000 234 153000000 4294967295 61286 0 28804 62088 0 0 0 263.032 859 5 1 1 0 17.8397
 3953 170 142 61286 0 0 1 0 1 4294967295 111 190000001 763 190000000 764 190000000 4294967295 61286 0 0 62078 0 0 0 63.9153 2595 5 1 1 0 15.6951
 2026 16 1 61287 0 0 1 0 1 4294967295 552 153000000 891 153000000 647 153000000 4294967295 61287 0 28802 62089 0 0 0 129.375 2932 5 1 1 0 20.4463
 1752 195 71 61290 0 0 1 0 1 4294967295 235 186000000 254 186000000 255 186000000 4294967295 61290 0 28804 62087 0 0 0 167.11 931 5 1 1 0 22.2822
 4835 170 65 61292 0 0 1 0 1 4294967295 111 290000000 763 290000000 764 290000000 4294967295 61292 0 0 62084 0 0 0 3.26569 2594 5 1 1 0 24.3391
 2057 16 1 61293 0 0 1 0 1 4294967295 604 153000000 891 153000000 647 153000000 4294967295 61293 0 0 62095 0 0 0 92.6695 2931 5 1 1 0 24.5871
 958 0 207 61295 0 0 1 0 1 4294967295 180 421000000 411 421000000 412 421000000 4294967295 61295 0 28801 62089 0 0 0 59.1174 1409 5 1 1 0 21.426
 2046 16 1 61300 0 0 1 0 1 4294967295 552 153000000 191 153000000 891 153000000 4294967295 61300 0 0 62009 0 0 0 50.9179 704 5 1 1 0 13.2353
 2047 16 1 61300 0 0 1 0 1 4294967295 552 153000000 191 153000000 891 153000000 4294967295 61300 0 0 62010 0 0 0 73.4102 704 5 1 1 0 34.3282
 2015 16 1 61305 0 0 1 0 1 4294967295 552 153000000 191 153000000 891 153000000 4294967295 61305 0 28804 62014 0 0 0 163.095 704 5 1 1 0 17.697
 2622 68 190 61306 0 0 1 0 1 4294967295 438 370000000 982 370000000 1000 370000000 4294967295 61306 0 0 62029 0 0 0 20.2929 3199 5 1 1 0 30.6293
 5854 75 62 61308 0 0 1 0 1 4294967295 340 530000000 630 530000000 632 530000000 4294967295 61308 0 28804 62096 0 0 0 167.179 2163 5 1 1 0 20.4562
 4353 126 225 61310 0 0 1 0 1 4294967295 214 478000000 816 478000000 843 478000000 4294967295 61310 0 28803 62044 0 0 0 154.555 2741 5 1 1 0 20.1681
 3958 115 65 61311 0 0 1 0 1 4294967295 117 290000002 764 290000000 803 290000000 4294967295 61311 0 0 62066 0 0 0 20.3606 2602 5 1 1 0 23.8269
 963 0 207 61313 0 0 1 0 1 4294967295 180 421000000 873 421000000 411 421000000 4294967295 61313 0 0 62077 0 0 0 23.0895 2890 5 1 1 0 17.7262
 4276 79 1 61313 0 0 1 0 1 4294967295 232 153000000 891 153000000 647 153000000 4294967295 61313 0 28803 62089 0 0 0 144.327 2932 5 1 1 0 27.7184
 960 0 207 61314 0 0 1 0 1 4294967295 180 421000000 873 421000000 411 421000000 4294967295 61314 0 28801 62079 0 0 0 68.7414 2890 5 1 1 0 27.5789
 2132 115 21 61320 0 0 1 0 1 4294967295 117 323000000 695 323000000 710 323000000 4294967295 61320 0 0 62079 0 0 0 19.442 2374 5 1 1 0 27.0686
 2187 94 121 61328 0 0 1 0 1 4294967295 487 650000000 402 650000000 403 650000000 4294967295 61328 0 0 62071 0 0 0 77.781 1382 5 1 1 0 16.2943
 2025 16 1 61329 0 0 1 0 1 4294967295 552 153000000 191 153000000 891 153000000 4294967295 61329 0 28802 62038 0 0 0 127.163 701 5 1 1 0 22.1297
 5186 70 127 61329 0 0 1 0 1 4294967295 962 859000000 215 859000000 216 859000000 4294967295 61329 0 0 62067 0 0 0 16.9976 812 5 1 1 0 23.4139
 2022 16 1 61336 0 0 1 0 1 4294967295 552 153000000 191 153000000 891 153000000 4294967295 61336 0 0 62045 0 0 0 99.5929 700 5 1 1 0 22.6571
 4228 79 1 61336 0 0 1 0 1 4294967295 232 153000000 654 153000000 4294967295 4447967295 4294967295 61336 0 28804 62093 0 0 0 75.1372 2235 5 1 1 0 20.4682
 2029 16 1 61338 0 0 1 0 1 4294967295 552 153000000 191 153000000 891 153000000 4294967295 61338 0 28802 62047 0 0 0 143.994 700 5 1 1 0 25.6008
 2028 16 1 61339 0 0 1 0 1 4294967295 604 153000000 191 153000000 891 153000000 4294967295 61339 0 28804 62048 0 0 0 169.698 700 5 1 1 0 18.0966
 1755 195 71 61339 0 0 1 0 1 4294967295 235 186000000 651 186000000 4294967295 4480967295 4294967295 61339 0 0 62089 0 0 0 14.8226 2231 5 1 1 0 30.6188
