{89	50	0.1	2.818	1.0436	1.8688	25	0.005}
{90	50	0.1	1.8883	1.1534	1.6	25	0.005}
{91	50	0.18595	2.818	0.77289	1.8688	25	0.020847}
{92	50	0.1	3.4425	1.5573	1.6	25	0.005}
{93	50	0.1	3.1147	1.5573	1.6	25	0.005}
{94	50	0.21649	3.8049	2.1027	3.8049	25	0.02259}
{95	50	0.22	2.5496	1.409	3.0439	25	0.005749}
{96	50	0.22	1.5458	2.1027	1.6	25	0.0057813}
{97	50	0.22	3.4425	0.85425	1.6	25	0.0057935}
{98	50	0.22	2.5496	1.5573	2.2829	25	0.0057174}
{99	50	0.22	4.2054	1.0436	1.6	25	0.024247}
{100	50	0.22	2.0871	1.9024	3.0824	25	0.024249}
{101	50	0.22	2.818	1.0436	3.0824	25	0.024252}
{102	50	0.18	4.6481	1.7213	2.2829	25	0.015}
{103	50	0.18	3.4425	1.409	2.0655	25	0.015}
{104	50	0.21649	4.6481	1.1534	3.1147	25	0.02259}
{105	50	0.22	2.5496	1.5573	1.6	25	0.025942}
{106	50	0.22	1.7085	1.2748	1.6	25	0.02592}
{107	50	0.22	2.3068	2.324	1.6	25	0.025914}
{108	50	0.22	2.5496	1.409	2.0655	25	0.028559}
{109	50	0.22	2.5496	1.2748	2.2544	25	0.028556}
{110	50	0.22	3.4425	2.324	3.0439	25	0.016716}
{111	50	0.22	3.4425	1.0436	1.6	25	0.016758}
{112	50	0.22	2.0871	2.1027	1.6	25	0.025939}
{113	50	0.22	3.1147	1.409	1.6697	25	0.025941}
{114	50	0.22	3.4425	1.0436	2.0397	25	0.005}
{115	50	0.22	1.8883	2.324	1.6	25	0.005}
{116	50	0.22	2.818	1.7213	2.754	25	0.034757}
{117	50	0.22	3.4425	1.409	3.4425	25	0.028173}
{118	50	0.1	2.818	1.409	2.4917	25	0.005}
{119	50	0.1	3.1147	1.0436	1.6697	25	0.012895}
{120	50	0.1	1.5458	1.7213	1.6697	25	0.005}
{121	50	0.10014	3.1147	1.5573	1.6	25	0.005}
{122	50	0.1	2.818	0.94417	1.8455	25	0.005}
{123	50	0.10032	3.4425	1.409	2.754	25	0.005}
